id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;30-09-05 00:00:00;28.242,86740972
N;Norte;31-10-05 00:00:00;3.160,95269892
NE;Nordeste;31-10-05 00:00:00;6.885,06069220
S;Sul;31-10-05 00:00:00;7.321,89803091
SE;Sudeste/Centro-Oeste;31-10-05 00:00:00;28.991,80100000
N;Norte;30-11-05 00:00:00;3.207,02204306
NE;Nordeste;30-11-05 00:00:00;6.968,12548333
S;Sul;30-11-05 00:00:00;7.615,22580556
SE;Sudeste/Centro-Oeste;30-11-05 00:00:00;28.312,46225833
N;Norte;31-12-05 00:00:00;3.215,38599462
NE;Nordeste;31-12-05 00:00:00;6.884,55065860
S;Sul;31-12-05 00:00:00;7.724,79459677
SE;Sudeste/Centro-Oeste;31-12-05 00:00:00;28.163,79838172
N;Norte;31-01-06 00:00:00;3.241,99775538
NE;Nordeste;31-01-06 00:00:00;6.932,53110215
S;Sul;31-01-06 00:00:00;8.115,45401882
SE;Sudeste/Centro-Oeste;31-01-06 00:00:00;29.410,09740591
N;Norte;28-02-06 00:00:00;3.285,10589286
NE;Nordeste;28-02-06 00:00:00;7.020,88270833
S;Sul;28-02-06 00:00:00;8.280,37275298
SE;Sudeste/Centro-Oeste;28-02-06 00:00:00;30.149,90831548
N;Norte;31-03-06 00:00:00;3.305,50360215
NE;Nordeste;31-03-06 00:00:00;6.984,02620968
S;Sul;31-03-06 00:00:00;8.410,28309140
SE;Sudeste/Centro-Oeste;31-03-06 00:00:00;30.646,27965054
N;Norte;30-04-06 00:00:00;3.262,09315278
NE;Nordeste;30-04-06 00:00:00;6.718,55509722
S;Sul;30-04-06 00:00:00;7.658,64341667
SE;Sudeste/Centro-Oeste;30-04-06 00:00:00;28.994,79536111
N;Norte;31-05-06 00:00:00;3.351,24337366
NE;Nordeste;31-05-06 00:00:00;6.643,10471774
S;Sul;31-05-06 00:00:00;7.663,54044197
SE;Sudeste/Centro-Oeste;31-05-06 00:00:00;28.369,73352151
N;Norte;30-06-06 00:00:00;3.396,61101389
NE;Nordeste;30-06-06 00:00:00;6.526,42406944
S;Sul;30-06-06 00:00:00;7.682,02362500
SE;Sudeste/Centro-Oeste;30-06-06 00:00:00;28.456,18194444
N;Norte;31-07-06 00:00:00;3.324,30041667
NE;Nordeste;31-07-06 00:00:00;6.544,46450806
S;Sul;31-07-06 00:00:00;7.612,42004032
SE;Sudeste/Centro-Oeste;31-07-06 00:00:00;28.707,09936290
N;Norte;31-08-06 00:00:00;3.437,60002688
NE;Nordeste;31-08-06 00:00:00;6.829,50091398
S;Sul;31-08-06 00:00:00;7.741,26487903
SE;Sudeste/Centro-Oeste;31-08-06 00:00:00;29.679,78815860
N;Norte;30-09-06 00:00:00;3.412,26218056
NE;Nordeste;30-09-06 00:00:00;7.018,97746250
S;Sul;30-09-06 00:00:00;7.499,72676389
SE;Sudeste/Centro-Oeste;30-09-06 00:00:00;29.081,09865417
N;Norte;31-10-06 00:00:00;3.420,35197984
NE;Nordeste;31-10-06 00:00:00;7.196,41282796
S;Sul;31-10-06 00:00:00;7.762,99086022
SE;Sudeste/Centro-Oeste;31-10-06 00:00:00;29.255,40004704
N;Norte;30-11-06 00:00:00;3.389,90952778
NE;Nordeste;30-11-06 00:00:00;7.228,42976389
